"announcement","size","date","time","pdf"
"DFCU BANK EXECUTIVE DIRECTOR RESIGNATION NOTICE.pdf","0.14MB","2023/07/21","03:40:31","https://www.use.or.ug/uploads/announcements/DFCU%20BANK%20EXECUTIVE%20DIRECTOR%20RESIGNATION%20NOTICE.pdf"
"Umeme Press Release June 2023 Final.pdf","0.17MB","2023/08/21","09:48:14","https://www.use.or.ug/uploads/announcements/Umeme%20Press%20Release%20June%202023%20Final.pdf"
"STANBIC HOLDCO NOTICE of annual genneral meeeting 2021.pdf","1.52MB","2021/05/11","01:58:49","https://www.use.or.ug/uploads/announcements/STANBIC%20HOLDCO%20NOTICE%20of%20annual%20genneral%20meeeting%202021.pdf"
"ISIN-CFI-FISN (1).xlsx","0.02MB","2020/09/14","10:41:26","https://www.use.or.ug/uploads/announcements/ISIN-CFI-FISN%20(1).xlsx"
"BATU UGANDA -APPOINTMENT OF NEW BOARD OF DIRECTORS.pdf","0.12MB","2022/05/25","03:48:56","https://www.use.or.ug/uploads/announcements/BATU%20UGANDA%20-APPOINTMENT%20OF%20NEW%20BOARD%20OF%20DIRECTORS.pdf"
"UCL-PROFIT WARNING.pdf","0.36MB","2023/04/05","09:51:25","https://www.use.or.ug/uploads/announcements/UCL-PROFIT%20WARNING.pdf"
"CiplaQCIL Financial Results Publication FY 2023.pdf","0.58MB","2023/07/25","12:55:27","https://www.use.or.ug/uploads/announcements/CiplaQCIL%20Financial%20Results%20Publication%20FY%202023.pdf"
"Baroda Post AGM Notice.pdf","0.51MB","2023/07/07","04:06:16","https://www.use.or.ug/uploads/announcements/Baroda%20Post%20AGM%20Notice.pdf"
"EABL F21 Half-Year Results - Press Advert.pdf","0.66MB","2021/02/12","10:09:50","https://www.use.or.ug/uploads/announcements/EABL%20F21%20Half-Year%20Results%20-%20Press%20Advert.pdf"
"Uganda Clays Limited 2022 Financial Statement.pdf","9.49MB","2023/04/18","12:42:26","https://www.use.or.ug/uploads/announcements/Uganda%20Clays%20Limited%202022%20Financial%20Statement.pdf"
"BAT Uganda - Announcement of Change of the Board of Directors.pdf","0.69MB","2022/05/11","09:42:31","https://www.use.or.ug/uploads/announcements/BAT%20Uganda%20-%20Announcement%20of%20Change%20of%20the%20Board%20of%20Directors.pdf"
"Kenya Airways - Audited Financial Results FY Ended 31 Dec 2022.pdf","0.26MB","2023/03/28","09:52:47","https://www.use.or.ug/uploads/announcements/Kenya%20Airways%20-%20Audited%20Financial%20Results%20FY%20Ended%2031%20Dec%202022.pdf"
"Jubilee Holdings Resignation of Director Notice.pdf","0.43MB","2018/07/25","04:45:29","https://www.use.or.ug/uploads/announcements/Jubilee%20Holdings%20Resignation%20of%20Director%20Notice.pdf"
"New Vision Group Profit Warning Announcement.pdf","0.41MB","2021/07/21","01:50:38","https://www.use.or.ug/uploads/announcements/New%20Vision%20Group%20Profit%20Warning%20Announcement.pdf"
"MTNU IPO PROSPECTUS.zip","23.39MB","2021/10/11","10:48:51","https://www.use.or.ug/uploads/announcements/MTNU%20IPO%20PROSPECTUS.zip"
"Nation Media Group Half Year Results 2018.pdf","1.58MB","2018/08/20","05:12:09","https://www.use.or.ug/uploads/announcements/Nation%20Media%20Group%20Half%20Year%20Results%202018.pdf"
"EQUITY STOCK BROKERS 2021 FINANCIALS.pdf","0.36MB","2022/05/10","09:12:45","https://www.use.or.ug/uploads/announcements/EQUITY%20STOCK%20BROKERS%202021%20FINANCIALS.pdf"
"DFCU Limited Half Year Results  2018.pdf","0.33MB","2018/08/24","02:49:52","https://www.use.or.ug/uploads/announcements/DFCU%20Limited%20Half%20Year%20Results%20%202018.pdf"
"Umeme AGM Notice.pdf","0.08MB","2023/04/28","09:33:05","https://www.use.or.ug/uploads/announcements/Umeme%20AGM%20Notice.pdf"
"BAT Uganda AGM Notice 2021.pdf","0.09MB","2021/05/04","10:32:34","https://www.use.or.ug/uploads/announcements/BAT%20Uganda%20AGM%20Notice%202021.pdf"
"DFCU 2021 FINANCIALS.pdf","0.45MB","2022/03/31","11:57:31","https://www.use.or.ug/uploads/announcements/DFCU%202021%20FINANCIALS.pdf"
"Bank of Baroda Uganda Limited -2022 Financial Results.pdf","0.52MB","2023/04/26","12:58:26","https://www.use.or.ug/uploads/announcements/Bank%20of%20Baroda%20Uganda%20Limited%20-2022%20Financial%20Results.pdf"
"Equity Announcement.pdf","0.50MB","2023/06/15","09:16:00","https://www.use.or.ug/uploads/announcements/Equity%20Announcement.pdf"
"NMG -Cautionary Announcement.JPG","0.07MB","2021/03/02","11:36:54","https://www.use.or.ug/uploads/announcements/NMG%20-Cautionary%20Announcement.JPG"
"STANBIC HOLDINGS UGANDA LIMITED - AGM NOTICE 2022.pdf","0.11MB","2022/05/16","09:53:59","https://www.use.or.ug/uploads/announcements/STANBIC%20HOLDINGS%20UGANDA%20LIMITED%20-%20AGM%20NOTICE%202022.pdf"
"DFCU Announcement of Appointment of Director.pdf","0.78MB","2018/10/25","07:53:59","https://www.use.or.ug/uploads/announcements/DFCU%20Announcement%20of%20Appointment%20of%20Director.pdf"
"Cipla Prospectus.pdf","10.50MB","2018/08/14","10:35:47","https://www.use.or.ug/uploads/announcements/Cipla%20Prospectus.pdf"
"CIPLA Annual Report.pdf","13.62MB","2020/08/17","08:52:58","https://www.use.or.ug/uploads/announcements/CIPLA%20Annual%20Report.pdf"
"CiplaQCIL AGM Notice 2023.pdf","0.50MB","2023/08/02","04:42:00","https://www.use.or.ug/uploads/announcements/CiplaQCIL%20AGM%20Notice%202023.pdf"
"NEW VISION - NOTICE OF APPOINTMENT.pdf","1.29MB","2023/04/05","09:52:24","https://www.use.or.ug/uploads/announcements/NEW%20VISION%20-%20NOTICE%20OF%20APPOINTMENT.pdf"
"Kenya Airways Resolutions of the 42nd Annual General Meeting.pdf","0.28MB","2018/07/26","08:32:33","https://www.use.or.ug/uploads/announcements/Kenya%20Airways%20Resolutions%20of%20the%2042nd%20Annual%20General%20Meeting.pdf"
"Bank of Baroda-Post EGM Notice.pdf","0.74MB","2023/03/28","09:54:15","https://www.use.or.ug/uploads/announcements/Bank%20of%20Baroda-Post%20EGM%20Notice.pdf"
"Kenya Airways- Issue, Allotment and listing of shares.pdf","0.41MB","2018/09/24","11:40:32","https://www.use.or.ug/uploads/announcements/Kenya%20Airways-%20Issue,%20Allotment%20and%20listing%20of%20shares.pdf"
"EABL 2023 AGM Resolutions.pdf","0.16MB","2023/09/15","09:55:10","https://www.use.or.ug/uploads/announcements/EABL%202023%20AGM%20Resolutions.pdf"
"CENTUM INVESTMENT Co. Plc. - FINANCIAL RESULTS FOR THE SIX-MONTH PERIOD ENDED 30 SEPTEMBER 2021.pdf","0.10MB","2021/11/30","12:30:52","https://www.use.or.ug/uploads/announcements/CENTUM%20INVESTMENT%20Co.%20Plc.%20-%20FINANCIAL%20RESULTS%20FOR%20THE%20SIX-MONTH%20PERIOD%20ENDED%2030%20SEPTEMBER%202021.pdf"
"MTN Uganda Limited HY23 Earnings Release.pdf","0.49MB","2023/08/04","08:38:00","https://www.use.or.ug/uploads/announcements/MTN%20Uganda%20Limited%20HY23%20Earnings%20Release.pdf"
"Kenya Airways Half Year Results 2018.pdf","1.85MB","2018/08/29","11:37:58","https://www.use.or.ug/uploads/announcements/Kenya%20Airways%20Half%20Year%20Results%202018.pdf"
"SHUL AGM NOTICE 2023.pdf","0.43MB","2023/05/11","08:49:39","https://www.use.or.ug/uploads/announcements/SHUL%20AGM%20NOTICE%202023.pdf"
"BAT Uganda 2022 Financial Results.pdf","0.27MB","2023/03/06","08:59:16","https://www.use.or.ug/uploads/announcements/BAT%20Uganda%202022%20Financial%20Results.pdf"
